subscription_id,user_id,plan,start_date,end_date,status
1,1,free,2025-12-15,2026-05-08,canceled
2,2,free,2024-12-28,2025-08-09,canceled
3,3,pro,2025-06-08,,active
4,4,pro,2024-05-24,2025-05-13,canceled
5,5,free,2025-06-29,,active
6,6,free,2025-01-10,,active
7,7,enterprise,2024-12-17,,active
8,8,pro,2025-04-20,,active
9,9,free,2026-04-06,,active
10,10,enterprise,2024-07-06,,active
11,11,free,2025-01-21,,active
12,12,free,2025-06-01,,active
13,13,free,2025-01-17,,active
14,14,free,2026-06-10,,active
15,15,free,2026-03-31,2026-08-01,canceled
16,16,pro,2025-02-28,,active
17,17,free,2026-05-13,,active
18,18,enterprise,2025-11-10,,active
19,19,pro,2025-01-29,2025-06-26,canceled
20,20,free,2024-07-05,2025-06-28,canceled
21,21,free,2025-05-31,2025-07-05,canceled
22,22,free,2024-03-23,2024-06-13,canceled
23,23,pro,2026-05-22,2026-06-30,canceled
24,24,free,2024-09-21,,active
25,25,enterprise,2025-10-18,,active
26,26,free,2025-11-30,2026-02-26,canceled
27,27,free,2026-03-28,2026-05-01,canceled
28,28,free,2025-08-17,,active
29,29,free,2025-06-08,,active
30,30,pro,2025-12-15,,active
31,31,enterprise,2025-01-05,2025-08-18,canceled
32,32,pro,2026-01-02,,active
33,33,free,2026-03-13,2026-05-18,canceled
34,34,pro,2026-06-28,2026-08-01,canceled
35,35,pro,2025-10-16,2026-04-11,canceled
36,36,free,2025-07-20,,active
37,37,enterprise,2025-02-15,,active
38,38,free,2025-03-16,,active
39,39,pro,2026-01-28,,active
40,40,pro,2025-05-20,,active
41,41,free,2024-08-23,,active
42,42,pro,2025-07-29,,active
43,43,free,2026-03-18,2026-04-17,canceled
44,44,pro,2025-10-26,,active
45,45,free,2025-06-09,2025-12-18,canceled
46,46,free,2024-09-14,2025-04-01,canceled
47,47,pro,2025-01-30,,active
48,48,free,2024-05-26,2025-02-10,canceled
49,49,free,2025-08-22,2026-01-04,canceled
50,50,pro,2025-09-29,,active
51,51,free,2025-05-27,,active
52,52,free,2025-08-16,,active
53,53,free,2024-04-16,,active
54,54,free,2026-01-25,2026-08-01,canceled
55,55,free,2025-02-12,,active
56,56,pro,2024-10-16,,active
57,57,free,2025-08-31,,active
58,58,free,2025-11-13,,active
59,59,free,2025-09-21,,active
60,60,pro,2024-05-23,,active
61,61,free,2026-06-12,,active
62,62,pro,2025-05-10,,active
63,63,free,2025-02-13,,active
64,64,enterprise,2025-04-27,,active
65,65,free,2025-09-25,,active
66,66,pro,2025-07-21,2026-04-04,canceled
67,67,pro,2024-08-21,,active
68,68,free,2025-03-31,,active
69,69,free,2024-12-16,2025-12-14,canceled
70,70,pro,2024-11-23,,active
71,71,enterprise,2025-12-23,2026-08-01,canceled
72,72,free,2026-01-25,,active
73,73,enterprise,2025-01-19,2025-05-29,canceled
74,74,pro,2024-04-27,2024-07-29,canceled
75,75,enterprise,2025-12-25,,active
76,76,free,2025-11-19,,active
77,77,free,2024-03-26,,active
78,78,pro,2025-02-07,,active
79,79,enterprise,2024-09-20,,active
80,80,free,2026-04-18,,active
81,81,free,2026-05-26,,active
82,82,pro,2024-05-10,,active
83,83,free,2024-03-26,,active
84,84,pro,2026-01-26,,active
85,85,free,2024-09-20,,active
86,86,pro,2024-08-08,,active
87,87,pro,2025-10-28,2026-07-25,canceled
88,88,free,2026-01-18,,active
89,89,pro,2025-06-22,,active
90,90,pro,2025-01-24,,active
91,91,free,2026-01-16,,active
92,92,free,2025-10-01,,active
93,93,pro,2026-04-25,,active
94,94,free,2025-07-23,,active
95,95,enterprise,2025-12-21,,active
96,96,free,2026-01-26,,active
97,97,enterprise,2024-05-21,2024-08-30,canceled
98,98,enterprise,2024-07-13,,active
99,99,pro,2026-04-09,,active
100,100,enterprise,2024-06-21,2025-02-02,canceled
101,101,pro,2024-12-15,,active
102,102,enterprise,2026-02-02,,active
103,103,enterprise,2026-01-13,,active
104,104,free,2025-07-03,2026-02-15,canceled
105,105,free,2026-04-18,,active
106,106,free,2026-04-29,,active
107,107,free,2025-09-20,2026-02-08,canceled
108,108,free,2025-11-10,,active
109,109,enterprise,2025-12-30,,active
110,110,pro,2024-12-31,,active
111,111,pro,2025-06-09,,active
112,112,pro,2025-10-16,,active
113,113,pro,2024-10-18,,active
114,114,free,2024-09-14,,active
115,115,free,2026-01-11,,active
116,116,free,2024-07-06,,active
117,117,pro,2025-07-23,2026-07-13,canceled
118,118,enterprise,2024-07-01,,active
119,119,pro,2025-05-27,,active
120,120,free,2024-07-05,,active
121,121,pro,2026-01-19,,active
122,122,free,2026-03-29,,active
123,123,enterprise,2026-04-12,2026-08-01,canceled
124,124,free,2026-04-03,,active
125,125,pro,2025-11-28,,active
126,126,pro,2025-05-31,2025-11-08,canceled
127,127,pro,2024-09-05,,active
128,128,free,2025-12-09,2026-01-12,canceled
129,129,free,2025-05-24,2026-01-16,canceled
130,130,free,2024-03-19,2024-08-01,canceled
131,131,free,2024-11-01,,active
132,132,pro,2024-04-21,2024-09-09,canceled
133,133,free,2025-09-09,,active
134,134,pro,2024-08-09,,active
135,135,pro,2025-01-30,,active
136,136,pro,2025-09-19,,active
137,137,free,2024-04-18,,active
138,138,free,2026-02-20,,active
139,139,pro,2026-04-27,,active
140,140,enterprise,2024-06-30,2024-11-29,canceled
141,141,free,2025-07-12,,active
142,142,free,2025-03-12,2025-12-21,canceled
143,143,pro,2024-06-15,,active
144,144,free,2026-06-06,,active
145,145,pro,2025-08-25,2026-04-20,canceled
146,146,free,2024-08-01,2025-02-10,canceled
147,147,enterprise,2025-09-08,,active
148,148,pro,2024-03-05,2024-06-11,canceled
149,149,free,2025-01-16,,active
150,150,free,2024-03-05,2024-11-04,canceled
151,151,enterprise,2024-08-15,,active
152,152,pro,2025-05-03,,active
153,153,free,2025-03-16,,active
154,154,free,2024-08-31,,active
155,155,enterprise,2026-01-20,,active
156,156,free,2025-08-31,,active
157,157,pro,2025-02-24,2025-04-08,canceled
158,158,free,2025-11-10,,active
159,159,enterprise,2024-12-21,,active
160,160,pro,2026-06-03,2026-08-01,canceled
161,161,free,2026-04-18,,active
162,162,free,2025-05-22,,active
163,163,enterprise,2024-06-16,,active
164,164,free,2024-03-03,,active
165,165,pro,2025-11-18,,active
166,166,free,2025-03-30,2025-05-20,canceled
167,167,pro,2026-06-25,,active
168,168,free,2025-05-28,,active
169,169,free,2025-03-09,2025-12-18,canceled
170,170,pro,2024-08-17,,active
171,171,pro,2025-03-24,,active
172,172,free,2026-01-07,2026-08-01,canceled
173,173,enterprise,2024-09-19,,active
